profile_name,offer_id,title,company,experience_level,workplace_type,city,technologies,salary_range,bi_score,cross_score,relevant
frontend-react-junior,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",NaN,0.8340,1
frontend-react-junior,138,"Junior Developer with AI - part time/full time","Pirxey",junior,remote,"Gdańsk","TypeScript; Angular; React; JavaScript; Node.js; HTML; Python; CSS; Vue.js; SQL; Analytical Thinking","5800-8000 PLN",NaN,0.8251,1
frontend-react-junior,3949,"Junior Frontend Developer","best HR and PM solutions",junior,remote,"Cracow","JavaScript; HTML; CSS; Git; SEO; CMS","7000-9000 PLN",NaN,0.6231,1
frontend-react-junior,737,"JS / Junior Developer","Arrmy.gg",junior,hybrid,"Gdynia","JavaScript; HTML; Git","6000-10000 PLN",NaN,0.3393,1
frontend-react-junior,2485,"AI Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; React; Git","5400-5400 PLN",NaN,0.1674,1
frontend-react-junior,2486,"Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; JavaScript; R","5400-5400 PLN",NaN,0.0435,0
frontend-mid,25,"Fullstack Developer (Node.js/Nest.js + Next.js) - Mid+/Senior (100% Remote)","iMakeable",mid,remote,"Wrocław","TypeScript; Next.js; Docker; Node.js; Express.js; CI/CD; ORM; Git; Nest.js; AWS","16800-24360 PLN",NaN,0.7854,1
frontend-mid,452,"React Developer","RITS Professional Services",mid,remote,"Warszawa","TypeScript; ReactJS; HTML5; material UI; Redux; CSS3; SASS; JavaScript (ES6+); tailwind; React Query","18480-23520 PLN",NaN,0.7290,1
frontend-mid,344,"Node.js Developer","ITLT",mid,remote,"Warszawa","Node.js; Nest.js; Redis; TypeORM; nx.dev","20160-25200 PLN",NaN,0.6611,0
frontend-mid,271,"Full-Stack Software Engineer (JavaScript / TypeScript)","Calimala.ai",mid,remote,"Warszawa","React; Node.js; Azure; JavaScript / TypeScript; cloud-native development; CI/CD & Git Workflows; Testing & QA; Performance optimization; Collaboration with Product & UX Teams; AWS","16000-32000 PLN",NaN,0.6083,1
frontend-mid,290,"Node.js Developer","The Software House",mid,remote,"Gliwice","TypeScript; Node.js; CI/CD; Amazon AWS; SQL; React.JS","9500-16000 PLN",NaN,0.5431,0
frontend-mid,209,"Junior Angular Developer","Link Group",junior,remote,"Warszawa","TypeScript; Angular; HTML; CSS; REST API; NgRx; Jasmine; RxJS; Karma","8400-13440 PLN",NaN,0.4653,0
frontend-mid,472,"Web Developer","CodeTwo sp. z o.o. sp. k.",mid,remote,"Jelenia Góra","React; JavaScript; C#; CSS; Azure; ASP.NET; Visual Studio","10000-17000 PLN",NaN,0.4503,0
frontend-mid,37,"Mid/Senior Fullstack & AI Integration Developer z j. angielskim lub niemieckim (Instore Sensorics and Data)","dmTECH Polska",mid,remote,"Wrocław","Angular; React; Node.js; AI; Vue.js","16800-30240 PLN",NaN,0.4385,1
frontend-mid,213,"Fullstack Developer (Node.js, React)","Next Technology Professionals",mid,hybrid,"Warszawa","TypeScript; React; API; Node.js; AWS","13000-15000 PLN",NaN,0.4346,1
frontend-mid,147,"React Native Developer","Goodspeed Digital",mid,remote,"Warszawa","TypeScript; React Native; Firebase","18000-23000 PLN",NaN,0.4202,0
frontend-mid,363,"React.js Developer","SMART TOPAZ",mid,remote,"Poland (Remote)","Next.js; JavaScript; HTML; REST API; React.JS","14000-20000 PLN",NaN,0.4159,1
frontend-mid,5282,"Fullstack developer (Node.js and React) (f/m/d)","FIEGE Sp. z.o.o.",mid,remote,"Warszawa","React; Node.js","15000-18000 PLN",NaN,0.4153,1
frontend-mid,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",NaN,0.4140,1
frontend-mid,529,"React Developer | Fintech | Java Experience Required","Caspian One",mid,hybrid,"Kraków","TypeScript; React; Java","27300-37800 PLN",NaN,0.3887,0
frontend-mid,4597,"Software Engineer (TypeScript)","CLMedia Sp. z o.o.",mid,hybrid,"Warszawa","TypeScript; PostgreSQL; Node.js; Vue.js; Tailwind CSS; PrimeVue; Node.js Express","23520-28560 PLN",NaN,0.3740,0
frontend-mid,139,"Front-end Developer","Nocowanie.pl",mid,remote,"Warszawa","TypeScript; Next.js; React; JavaScript; Redux; Webpack","12000-17000 PLN",NaN,0.3663,1
frontend-mid,3232,"Junior Fullstack Developer","P100",junior,hybrid,"Rzeszów","TypeScript; Next.js; PostgreSQL; AI; Nest.js; Python 3; Blockchain","4000-5000 PLN",NaN,0.3656,0
frontend-mid,366,"Software Engineer - Frontend","Evidence Prime",mid,remote,"Kraków","TypeScript; React; JavaScript; HTML5; REST API; Git; CSS3","14000-16500 PLN",NaN,0.3640,1
frontend-mid,182,"React Native Developer","GMI Software",mid,remote,"Warszawa","TypeScript; CI/CD; React Native; Expo","12000-18000 PLN",NaN,0.3615,0
frontend-mid,3949,"Junior Frontend Developer","best HR and PM solutions",junior,remote,"Cracow","JavaScript; HTML; CSS; Git; SEO; CMS","7000-9000 PLN",NaN,0.3584,1
fullstack-junior,138,"Junior Developer with AI - part time/full time","Pirxey",junior,remote,"Gdańsk","TypeScript; Angular; React; JavaScript; Node.js; HTML; Python; CSS; Vue.js; SQL; Analytical Thinking","5800-8000 PLN",NaN,0.8470,1
fullstack-junior,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",NaN,0.8125,1
fullstack-junior,3949,"Junior Frontend Developer","best HR and PM solutions",junior,remote,"Cracow","JavaScript; HTML; CSS; Git; SEO; CMS","7000-9000 PLN",NaN,0.7477,1
fullstack-junior,4671,"Junior Node.js Backend Developer (he/she/they)","Lite e-Commerce",junior,remote,"Warszawa","TypeScript; Docker; PostgreSQL; Node.js; GraphQL; Redis","7000-9000 PLN",NaN,0.6592,1
fullstack-junior,737,"JS / Junior Developer","Arrmy.gg",junior,hybrid,"Gdynia","JavaScript; HTML; Git","6000-10000 PLN",NaN,0.6452,1
fullstack-junior,348,"Junior Frontend Developer (K/M)","OstroVit",junior,office,"Zambrów","JavaScript; HTML; CSS; WordPress","4806-5400 PLN",NaN,0.4982,1
fullstack-junior,1094,"Junior Low-Code Developer (Mendix)","BiModal Solutions",junior,office,"Kraków","JavaScript; HTML; CSS","5880-6384 PLN",NaN,0.4411,0
fullstack-junior,2486,"Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; JavaScript; R","5400-5400 PLN",NaN,0.4089,1
fullstack-junior,1092,"Junior Java Developer","VHV Informatyka Sp. z o.o.",junior,office,"Warszawa","Java; Git; SQL","8000-12000 PLN",NaN,0.4061,0
fullstack-junior,5679,"Frontend Developer","Mindpal Sp. z o.o.",junior,office,"Gliwice","TypeScript; React; JavaScript","8000-10000 PLN",NaN,0.3359,1
fullstack-junior,222,"Independent Developer","Lunar Logic",junior,hybrid,"Kraków","JavaScript; Node.js; Amazon AWS; Git; SQL; Ruby on Rails; Security","10000-14000 PLN",NaN,0.2274,1
fullstack-junior,2485,"AI Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; React; Git","5400-5400 PLN",NaN,0.2098,1
fullstack-junior,5752,"Junior Frontend Software Engineer - e-Xperience Program Associate","Allegro",junior,office,"Poznań","HTML; Java; CSS","7000-7000 PLN",NaN,0.1244,1
fullstack-junior,5647,"Junior Python Software Engineer - e-Xperience Program Associate","Allegro",junior,office,"Poznań","Java; AI","7000-7000 PLN",NaN,0.0745,0
fullstack-mid,213,"Fullstack Developer (Node.js, React)","Next Technology Professionals",mid,hybrid,"Warszawa","TypeScript; React; API; Node.js; AWS","13000-15000 PLN",NaN,0.9775,1
fullstack-mid,5282,"Fullstack developer (Node.js and React) (f/m/d)","FIEGE Sp. z.o.o.",mid,remote,"Warszawa","React; Node.js","15000-18000 PLN",NaN,0.9687,1
fullstack-mid,100,"Fullstack Developer (React + Node.js)","Onwelo",mid,hybrid,"Warszawa","TypeScript; React; Node.js; REST API; PostreSQL","15750-19950 PLN",NaN,0.9613,1
fullstack-mid,220,"Senior Full Stack Developer (Node.js + React)","DataArt",mid,remote,"Wrocław","Docker; PHP; JavaScript; Node.js; GraphQL; Git; nestJS; MySQL; React.JS; AWS","15000-17500 PLN",NaN,0.9597,1
fullstack-mid,5731,"Fullstack Developer (React + Node.js)","Mood Up",mid,hybrid,"Poznań","TypeScript; React; JavaScript","16000-21000 PLN",NaN,0.9591,1
fullstack-mid,335,"FullStack Developer (React + Node.js)","ALTIMI",mid,remote,"Wrocław","React; Node.js; GCP","16800-23520 PLN",NaN,0.9578,1
fullstack-mid,395,"Senior Full Stack Developer (Node.js + React)","DataArt",mid,remote,"Wrocław","Docker; PHP; JavaScript; Node.js; GraphQL; Git; nestJS; MySQL; React.JS; AWS","15000-19500 PLN",NaN,0.9571,1
fullstack-mid,1087,"Fullstack Developer (Java, React)","ITFS Sp. z o.o.",mid,hybrid,"Warszawa","TypeScript; React; JavaScript","15120-18480 PLN",NaN,0.9485,1
fullstack-mid,49,"Fullstack Developer (Mid)","Framna (formerly Bright Inventions)",mid,hybrid,"Gdańsk","TypeScript; Next.js; React; JavaScript; Node.js; nestJS; NoSQL; SQL; Databases; AWS","18772-21220 PLN",NaN,0.9479,1
fullstack-mid,4530,"Fullstack Developer (Typescript/AWS)","Upvanta sp. z o.o.",mid,remote,"Warszawa","TypeScript; Node.js; Java; Python; GitHub Actions; NoSQL; SQL; Lambda; AWS; Bamboo","18900-23730 PLN",NaN,0.9392,1
fullstack-mid,322,"Full-Stack(Node.js+ React) Developer","SNI",mid,remote,"Wrocław","TypeScript; React; Node.js; AWS","16800-20160 PLN",NaN,0.9266,1
fullstack-mid,5221,"Mid Fullstack Developer - Global Fintech Project","Humanit",mid,remote,"Wrocław","Docker; React; Node.js; REST API; Redux; JavaScript / TypeScript; SQL (Postgres / MySQL)","14000-17000 PLN",NaN,0.9263,1
fullstack-mid,5748," Fullstack Developer (Node, react, typescript)","Link Group",mid,remote,"","TypeScript; React; Node.js","15000-20000 PLN",NaN,0.9259,1
fullstack-mid,25,"Fullstack Developer (Node.js/Nest.js + Next.js) - Mid+/Senior (100% Remote)","iMakeable",mid,remote,"Wrocław","TypeScript; Next.js; Docker; Node.js; Express.js; CI/CD; ORM; Git; Nest.js; AWS","16800-24360 PLN",NaN,0.9249,1
